Sample,Ref,Ophiolite,Location/Unit,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Age_estimate_type,Age_ref,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
P-29,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,4.577,19.85,,,0.512795,,0.512731,3.5,5.1,467.4,,0.70419,,0.70416,2.395,1.95,0.569,,,,18.576,15.547,38.809,18.41,15.539,38.622,,,,,,,,
P-44,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,6.427,30.62,,,0.512774,,0.512716,3.2,15.5,1198,,0.70449,,0.70446,2.854,3.52,0.93,,,,18.729,15.559,38.982,18.501,15.548,38.698,,,,,,,,
P-60,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,4.5,20.39,,,0.512798,,0.512737,3.6,18.6,654.1,,0.70433,,0.70424,1.247,2.01,0.855,,,,19.257,15.58,39.438,18.77,15.557,39.063,,,,,,,,
P-69,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,5.943,28.53,,,0.512785,,0.512727,3.5,32.4,685.3,,0.70427,,0.70414,,,,,,,,,,,,,,,,,,,,
P-77,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,5.91,27.16,,,0.512819,,0.512759,4.1,29.2,1066,,0.7046,,0.70452,3.172,3.22,0.866,,,,19.041,15.566,39.347,18.848,15.557,39.112,,,,,,,,
P-84,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,9.699,57.12,,,0.512752,,0.512705,3,7.5,1343,,0.7042,,0.70418,6.484,8.48,1.74,,,,18.901,15.57,39.283,18.712,15.561,38.98,,,,,,,,
P-110,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,6.179,28.71,,,0.512822,,0.512762,4.1,41.6,1101,,0.70453,,0.70442,2.26,3.15,0.858,,,,18.517,15.541,38.786,18.253,15.528,38.468,,,,,,,,
P-121,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,4.543,19.54,,,0.51283,,0.512766,4.2,69.7,831.1,,0.70451,,0.70427,1.626,2.32,0.662,,,,19.114,15.57,39.375,18.826,15.556,39.044,,,,,,,,
P-131,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.884,16.65,,,0.512813,,0.512748,3.9,16.5,367.2,,0.70398,,0.70385,2.344,1.35,0.372,,,,18.979,15.568,39.309,18.867,15.563,39.176,,,,,,,,
P-96-532,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.631,19.38,,,0.512773,,0.51272,3.3,11.8,191.7,,0.704,,0.70382,2.232,2.34,0.65,,,,18.726,15.552,38.964,18.522,15.542,38.723,,,,,,,,
P-96-714,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,12.33,67.43,,,0.51284,,0.512784,4.6,4.93,549.2,,0.70539,,0.70537,10.06,7.97,2.35,,,,18.973,15.574,39.256,18.808,15.566,39.072,,,,,,,,
P-96-716,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,9.678,53.34,,,0.512782,,0.512732,3.6,11,1064,,0.70409,,0.70406,,,,,,,,,,,,,,,,,,,,
P-97-103,[1],South Tethyan Suture Zone,,,,Basalt,WR,OIB,70,Ar-Ar,Mahoney et al. 2002,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,8.211,30.38,,,0.512759,,0.512684,2.6,1.59,278.5,,0.7073,,0.70728,2.583,1.84,0.409,,,,17.896,15.528,38.473,17.787,15.523,38.312,,,,,,,,
C16,[2],Muslim Bagh,,,,Dolerite,WR,SSZ,80,U-Pb,Kakar et al. (2012),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,1.94,6.43,,0.182505,0.512926,1,0.51283,5.76,26.4,142,0.186009,0.707628,15,0.707015,,,,,,,,,,,,,,,,,,,,
C28,[2],Muslim Bagh,,,,Dolerite,WR,SSZ,80,U-Pb,Kakar et al. (2012),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,1.94,5.58,,0.210306,0.513029,9,0.512919,7.49,3.3,338,0.009763,0.704353,14,0.704321,,,,,,,,,,,,,,,,,,,,
C29,[2],Muslim Bagh,,,,Dolerite,WR,SSZ,80,U-Pb,Kakar et al. (2012),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.13,6.36,,0.202584,0.512993,9,0.512887,6.87,11.7,178,0.065767,0.70537,12,0.705153,,,,,,,,,,,,,,,,,,,,
C136,[2],Muslim Bagh,,,,Plagiogranite,WR,SSZ,80,U-Pb,Kakar et al. (2012),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,0.54,3.04,,0.107449,0.51294,14,0.512884,6.81,1.8,211,0.008491,0.703991,17,0.703963,,,,,,,,,,,,,,,,,,,,
C40,[2],Muslim Bagh,,,,Sheeted Dyke,WR,SSZ,80,U-Pb,Kakar et al. (2012),Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.6,14.57,,0.149461,0.512844,12,0.512765,4.5,2.5,287,0.082508,0.704608,38,0.704336,,,,,,,,,,,,,,,,,,,,
